Date,Stock,avg_sentiment,article_count,Daily_Return,sentiment_class
2020-03-02,NVDA,0.0,2,2.3549458435838666,Neutral
2020-03-03,GOOG,-0.07543333333333334,3,-3.4352809634335624,Negative
2020-03-03,NVDA,0.015599999999999984,3,-3.8128837940437754,Neutral
2020-03-04,GOOG,0.0,2,3.3644258722097087,Neutral
2020-03-04,NVDA,0.9073,1,7.002854416135218,Positive
2020-03-05,GOOG,0.021083333333333332,6,-4.866874580592018,Neutral
2020-03-05,MET,0.04684999999999999,2,-7.323770276649377,Neutral
2020-03-05,NVDA,0.0,1,-3.9436049636505155,Neutral
2020-03-06,GOOG,0.06870000000000001,5,-1.5639835797877533,Positive
2020-03-06,MET,-0.2023,1,-3.545031085458006,Negative
2020-03-06,NVDA,0.0,2,-2.6528577335114822,Neutral
2020-03-09,GOOG,-0.263075,4,-6.3808994581734275,Negative
2020-03-09,NVDA,-0.2791,2,-7.743188037326032,Negative
2020-03-10,GOOG,0.03977499999999999,4,5.333342445614875,Neutral
2020-03-10,MET,0.30355,2,7.225953207783964,Positive
2020-03-10,NVDA,0.296,1,6.372213665157611,Positive
2020-03-11,GOOG,0.003199999999999992,10,-5.075020119348772,Neutral
2020-03-11,MET,0.3818,1,-4.911489929604529,Positive
2020-03-11,NVDA,-0.0801,2,-5.595984818386612,Negative
2020-03-12,GOOG,-0.06745000000000001,2,-8.26881537168428,Negative
2020-03-12,MET,0.08974999999999998,2,-15.014998423261517,Positive
2020-03-12,NVDA,-0.3612,1,-12.236768565479306,Negative
2020-03-13,GOOG,0.14865,6,9.401649608295637,Positive
2020-03-13,MET,-0.4404,1,12.826839104008103,Negative
2020-03-13,NVDA,-0.128,1,11.340199067275481,Negative
2020-03-16,GOOG,-0.11026,5,-11.100817062030044,Negative
2020-03-16,NVDA,-0.4203,2,-18.45208933505639,Negative
2020-03-17,GOOG,0.16244999999999998,8,3.2711619910766876,Positive
2020-03-17,MET,-0.08549999999999998,3,6.082082953689794,Negative
2020-03-17,NVDA,0.148,2,10.626285915072353,Positive
2020-03-18,GOOG,-0.0399,3,-2.0539467028403258,Neutral
2020-03-18,NVDA,-0.2733333333333334,3,-6.650716092530018,Negative
2020-03-19,GOOG,0.5106,1,1.6858088471266353,Positive
2020-03-19,NVDA,-0.17143333333333333,3,5.0044467186803665,Negative
2020-03-20,GOOG,-0.37895,2,-3.8528162413470013,Negative
2020-03-20,MET,-0.2023,1,-9.029846174301037,Negative
2020-03-20,NVDA,0.2063,3,-3.39016134912703,Positive
2020-03-23,GOOG,-0.03864000000000002,5,-1.4641129949452214,Neutral
2020-03-23,MET,-0.2023,1,-3.486465690299234,Negative
2020-03-23,NVDA,0.296,1,3.3730177934194305,Positive
